velo_e	velo_d	v_e_lib	v_d_lib
151.508	151.508	364	374	12.0723
189.6	126.4	349	369	12.0882
195.66	293.49	360	370	12.0984
197.823	131.882	360	378	12.1135
198.69	198.69	356	367	12.1236
160.145	240.218	360	372	12.1361
132.063	132.063	360	364	12.1512
213.167	213.167	357	363	12.17
117.211	117.211	363	366	12.1871
134.292	134.292	365	365	12.202
140.876	140.876	369	372	12.2162
126.953	190.429	362	376	12.2319
210.516	140.344	362	372	12.2462
132.69	132.69	356	369	12.2612
134.505	134.505	355	359	12.2761
140.332	140.332	275	357	12.2904
130.947	130.947	355	360	12.3056
128.125	128.125	351	356	12.3212
190.253	190.253	359	359	12.337
135.331	135.331	357	359	12.3518
214.48	214.48	363	355	12.3704
131.243	131.243	364	356	12.3857
